"trip_id","stop_id","stop_sequence","is_timepoint","shape_dist_traveled","stop_time"
"10.ida","1197",1,"false",0.12,"00:00:22"
"10.ida","1198",2,"false",0.231,"00:00:43"
"10.ida","1199",3,"false",0.409,"00:01:17"
"10.ida","1200",4,"false",0.629,"00:01:59"
"10.ida","2946",5,"false",0.741,"00:02:20"
"10.ida","2947",6,"false",0.899,"00:02:50"
"10.ida","2948",7,"false",1.166,"00:03:40"
"10.ida","2949",8,"false",1.421,"00:04:29"
"10.ida","2950",9,"false",1.63,"00:05:08"
"10.ida","1206",10,"false",1.899,"00:05:59"
"10.ida","1207",11,"false",2.166,"00:06:50"
"10.ida","2953",12,"false",2.438,"00:07:41"
"10.ida","2894",13,"false",2.665,"00:08:24"
"10.ida","2895",14,"false",2.989,"00:09:26"
"10.ida","2034",15,"false",3.255,"00:10:16"
"10.ida","1212",16,"false",3.483,"00:10:59"
"10.ida","2036",17,"false",3.685,"00:11:38"
"10.ida","2959",18,"false",3.874,"00:12:14"
"10.ida","2900",19,"false",4.087,"00:12:54"
"10.ida","1415",20,"false",4.605,"00:14:32"
"10.ida","1217",21,"false",4.927,"00:15:33"
"10.ida","2903",22,"false",5.962,"00:18:49"
"10.ida","2904",23,"false",6.227,"00:19:39"
"10.ida","2050",24,"false",6.457,"00:20:23"
"10.ida","1420",25,"false",6.702,"00:21:09"
"10.ida","1222",26,"false",7.024,"00:22:10"
"10.ida","1223",27,"false",7.3,"00:23:03"
"10.ida","1423",28,"false",7.523,"00:23:45"
"10.ida","1424",29,"false",8.035,"00:25:22"
"10.ida","2280",30,"false",8.235,"00:26:00"
"10.ida","2912",31,"false",8.479,"00:26:46"
"10.ida","2913",32,"false",8.78,"00:27:43"
"10.ida","2059",33,"false",9.027,"00:28:30"
"10.ida","2915",34,"false",9.265,"00:29:15"
"10.ida","2061",35,"false",9.57,"00:30:13"
"10.ida","1232",36,"false",9.825,"00:31:01"
"10.ida","2287",37,"false",10.036,"00:31:41"
"10.ida","2919",38,"false",10.331,"00:32:37"
"10.ida","906",39,"false",10.896,"00:34:24"
"10.ida","2507",40,"false",11.09,"00:35:01"
"10.ida","908",41,"false",11.674,"00:36:51"
"10.ida","2984",42,"false",13.047,"00:41:12"
"10.ida","2731",43,"false",13.38,"00:42:15"
"10.ida","2512",44,"false",13.926,"00:43:58"
"10.ida","2513",45,"false",14.341,"00:45:17"
"10.ida","2514",46,"false",14.851,"00:46:53"
"10.ida","1533",47,"false",15.162,"00:47:52"
"10.ida","1245",48,"false",15.633,"00:49:22"
"10.ida","1246",49,"false",15.897,"00:50:12"
"10.ida","1858",50,"false",16.238,"00:51:16"
"10.ida","1537",51,"false",16.568,"00:52:19"
"10.ida","1538",52,"false",16.834,"00:53:09"
"10.ida","1250",53,"false",17.082,"00:53:56"
"10.ida","1251",54,"false",17.352,"00:54:47"
"10.ida","1863",55,"false",17.622,"00:55:38"
"10.ida","1253",56,"false",18.002,"00:56:50"
"10.ida","2308",57,"false",18.249,"00:57:37"
"10.ida","1544",58,"false",18.439,"00:58:13"
"10.ida","2527",59,"false",18.754,"00:59:13"
"10.ida","1868",60,"false",19.018,"01:00:03"
"10.ida","1258",61,"false",19.606,"01:01:54"
"10.ida","1548",62,"false",19.918,"01:02:53"
"10.ida","2531",63,"false",20.088,"01:03:26"
"10.ida","1261",64,"false",20.303,"01:04:06"
"10.ida","1873",65,"false",20.504,"01:04:44"
"10.ida","1552",66,"false",20.678,"01:05:17"
"10.ida","1875",67,"false",20.941,"01:06:07"
"10.ida","1554",68,"false",21.106,"01:06:39"
"10.ida","1266",69,"false",21.419,"01:07:38"
"10.ida","1267",70,"false",21.735,"01:08:38"
"10.ida","1879",71,"false",22.076,"01:09:42"
"10.ida","2324",72,"false",22.704,"01:11:41"
"10.ida","1270",73,"false",23.043,"01:12:46"
"10.ida","2542",74,"false",23.423,"01:13:58"
"10.ida","2543",75,"false",23.821,"01:15:13"
"10.ida","1884",76,"false",24.259,"01:16:36"
"10.ida","1274",77,"false",24.671,"01:17:54"
"10.ida","1275",78,"false",24.944,"01:18:46"
"10.ida","1276",79,"false",25.334,"01:20:00"
"10.ida","1277",80,"false",25.61,"01:20:52"
"10.ida","1278",81,"false",25.909,"01:21:49"
"10.ida","1279",82,"false",26.237,"01:22:51"
"10.ida","1280",83,"false",26.411,"01:23:24"
"10.ida","1281",84,"false",26.569,"01:23:54"
"10.ida","1282",85,"false",26.73,"01:24:24"
"10.ida","1283",86,"false",26.968,"01:25:09"
"10.reg","3032",1,"false",0.155,"00:00:29"
"10.reg","1380",2,"false",0.255,"00:00:48"
"10.reg","3030",3,"false",0.418,"00:01:19"
"10.reg","3029",4,"false",0.582,"00:01:50"
"10.reg","1377",5,"false",0.855,"00:02:42"
"10.reg","1376",6,"false",1.072,"00:03:23"
"10.reg","1375",7,"false",1.333,"00:04:12"
"10.reg","1374",8,"false",1.491,"00:04:42"
"10.reg","1373",9,"false",1.71,"00:05:24"
"10.reg","3023",10,"false",1.87,"00:05:54"
"10.reg","3022",11,"false",2.034,"00:06:25"
"10.reg","1370",12,"false",2.516,"00:07:56"
"10.reg","3020",13,"false",2.728,"00:08:36"
"10.reg","2860",14,"false",3.037,"00:09:35"
"10.reg","1367",15,"false",3.312,"00:10:27"
"10.reg","3017",16,"false",3.534,"00:11:09"
"10.reg","3016",17,"false",3.748,"00:11:50"
"10.reg","1486",18,"false",4.224,"00:13:20"
"10.reg","1485",19,"false",4.67,"00:14:44"
"10.reg","1484",20,"false",5.002,"00:15:47"
"10.reg","1483",21,"false",5.851,"00:18:28"
"10.reg","1481",22,"false",6.439,"00:20:20"
"10.reg","3009",23,"false",6.626,"00:20:55"
"10.reg","3008",24,"false",7.011,"00:22:08"
"10.reg","3007",25,"false",7.223,"00:22:48"
"10.reg","1994",26,"false",7.884,"00:24:53"
"10.reg","1476",27,"false",8.088,"00:25:32"
"10.reg","2845",28,"false",8.309,"00:26:14"
"10.reg","1352",29,"false",8.582,"00:27:06"
"10.reg","1351",30,"false",8.788,"00:27:45"
"10.reg","1989",31,"false",9.001,"00:28:25"
"10.reg","2841",32,"false",9.26,"00:29:14"
"10.reg","2999",33,"false",9.648,"00:30:28"
"10.reg","2998",34,"false",9.916,"00:31:18"
"10.reg","2997",35,"false",10.299,"00:32:31"
"10.reg","1024",36,"false",10.793,"00:34:04"
"10.reg","2426",37,"false",11,"00:34:44"
"10.reg","1982",38,"false",11.586,"00:36:35"
"10.reg","1021",39,"false",11.774,"00:37:10"
"10.reg","1341",40,"false",12.185,"00:38:28"
"10.reg","1340",41,"false",12.44,"00:39:17"
"10.reg","1978",42,"false",12.925,"00:40:48"
"10.reg","2830",43,"false",13.284,"00:41:56"
"10.reg","2419",44,"false",14.277,"00:45:05"
"10.reg","1014",45,"false",14.651,"00:46:15"
"10.reg","1334",46,"false",15.113,"00:47:43"
"10.reg","1333",47,"false",15.538,"00:49:04"
"10.reg","1971",48,"false",15.759,"00:49:45"
"10.reg","1672",49,"false",16.164,"00:51:02"
"10.reg","1749",50,"false",16.319,"00:51:32"
"10.reg","1329",51,"false",16.542,"00:52:14"
"10.reg","1669",52,"false",16.747,"00:52:53"
"10.reg","1327",53,"false",17.025,"00:53:45"
"10.reg","1745",54,"false",17.253,"00:54:28"
"10.reg","1744",55,"false",17.554,"00:55:26"
"10.reg","1324",56,"false",17.821,"00:56:16"
"10.reg","2191",57,"false",18.079,"00:57:05"
"10.reg","1663",58,"false",18.378,"00:58:02"
"10.reg","2404",59,"false",18.582,"00:58:40"
"10.reg","1320",60,"false",18.842,"00:59:30"
"10.reg","1958",61,"false",19.534,"01:01:41"
"10.reg","1318",62,"false",19.712,"01:02:14"
"10.reg","1317",63,"false",20.021,"01:03:13"
"10.reg","1316",64,"false",20.187,"01:03:44"
"10.reg","2398",65,"false",20.416,"01:04:28"
"10.reg","2397",66,"false",20.633,"01:05:09"
"10.reg","1313",67,"false",20.983,"01:06:15"
"10.reg","1312",68,"false",21.087,"01:06:35"
"10.reg","1311",69,"false",21.298,"01:07:15"
"10.reg","1949",70,"false",21.591,"01:08:10"
"10.reg","1728",71,"false",21.915,"01:09:12"
"10.reg","2391",72,"false",22.791,"01:11:58"
"10.reg","2325",73,"false",23.004,"01:12:38"
"10.reg","2389",74,"false",23.179,"01:13:11"
"10.reg","1305",75,"false",23.495,"01:14:11"
"10.reg","1304",76,"false",23.717,"01:14:53"
"10.reg","2386",77,"false",23.893,"01:15:27"
"10.reg","2602",78,"false",24.148,"01:16:15"
"10.reg","1300",79,"false",24.806,"01:18:20"
"10.reg","1299",80,"false",25.242,"01:19:42"
"10.reg","1298",81,"false",25.57,"01:20:44"
"10.reg","1297",82,"false",25.834,"01:21:34"
"10.reg","1296",83,"false",26.152,"01:22:35"
"10.reg","1295",84,"false",26.306,"01:23:04"
"10.reg","1294",85,"false",26.47,"01:23:35"
"10.reg","1293",86,"false",26.681,"01:24:15"
"11.ida","2357",1,"false",0,"00:00:00"
"11.ida","2358",2,"false",0.251,"00:00:47"
"11.ida","2359",3,"false",0.522,"00:01:38"
"11.ida","2360",4,"false",0.684,"00:02:09"
"11.ida","2361",5,"false",0.987,"00:03:07"
"11.ida","2362",6,"false",1.157,"00:03:39"
"11.ida","2363",7,"false",1.344,"00:04:14"
"11.ida","2364",8,"false",1.552,"00:04:54"
"11.ida","2580",9,"false",2.047,"00:06:27"
"11.ida","2366",10,"false",2.348,"00:07:24"
"11.ida","2367",11,"false",2.516,"00:07:56"
"11.ida","2368",12,"false",2.86,"00:09:01"
"11.ida","2369",13,"false",3.137,"00:09:54"
"11.ida","2370",14,"false",3.315,"00:10:28"
"11.ida","2371",15,"false",3.525,"00:11:07"
"11.ida","2372",16,"false",3.684,"00:11:38"
"11.ida","2373",17,"false",3.956,"00:12:29"
"11.ida","2374",18,"false",4.297,"00:13:34"
"11.ida","2375",19,"false",4.652,"00:14:41"
"11.ida","2376",20,"false",4.912,"00:15:30"
"11.ida","2377",21,"false",5.226,"00:16:30"
"11.ida","2595",22,"false",5.389,"00:17:01"
"11.ida","2596",23,"false",5.569,"00:17:35"
"11.ida","2597",24,"false",5.731,"00:18:05"
"11.ida","2381",25,"false",6.095,"00:19:14"
"11.ida","2382",26,"false",6.252,"00:19:44"
"11.ida","2600",27,"false",6.592,"00:20:49"
"11.ida","1720",28,"false",7.02,"00:22:10"
"11.ida","2602",29,"false",7.441,"00:23:29"
"11.ida","2386",30,"false",7.696,"00:24:18"
"11.ida","1304",31,"false",7.873,"00:24:51"
"11.ida","1305",32,"false",8.095,"00:25:33"
"11.ida","2389",33,"false",8.411,"00:26:33"
"11.ida","2172",34,"false",8.612,"00:27:11"
"11.ida","2391",35,"false",8.8,"00:27:47"
"11.ida","1728",36,"false",9.672,"00:30:32"
"11.ida","1949",37,"false",9.995,"00:31:33"
"11.ida","1311",38,"false",10.288,"00:32:29"
"11.ida","1653",39,"false",10.495,"00:33:08"
"11.ida","1732",40,"false",10.649,"00:33:37"
"11.ida","2397",41,"false",10.954,"00:34:35"
"11.ida","2398",42,"false",11.17,"00:35:16"
"11.ida","2399",43,"false",11.443,"00:36:08"
"11.ida","1956",44,"false",11.579,"00:36:33"
"11.ida","1318",45,"false",11.876,"00:37:30"
"11.ida","1660",46,"false",12.034,"00:38:00"
"11.ida","1320",47,"false",12.754,"00:40:16"
"11.ida","2404",48,"false",13.014,"00:41:05"
"11.ida","1663",49,"false",13.219,"00:41:44"
"11.ida","2191",50,"false",13.518,"00:42:41"
"11.ida","1324",51,"false",13.776,"00:43:30"
"11.ida","1744",52,"false",14.043,"00:44:20"
"11.ida","1745",53,"false",14.345,"00:45:18"
"11.ida","1327",54,"false",14.573,"00:46:01"
"11.ida","1538",55,"false",14.902,"00:47:03"
"11.ida","1329",56,"false",15.056,"00:47:32"
"11.ida","1749",57,"false",15.279,"00:48:14"
"11.ida","1672",58,"false",15.436,"00:48:44"
"11.ida","1971",59,"false",15.839,"00:50:01"
"11.ida","1333",60,"false",16.06,"00:50:42"
"11.ida","1334",61,"false",16.483,"00:52:03"
"11.ida","1014",62,"false",16.943,"00:53:30"
"11.ida","2419",63,"false",17.321,"00:54:41"
"11.ida","1756",64,"false",17.756,"00:56:04"
"11.ida","2421",65,"false",18.264,"00:57:40"
"11.ida","1978",66,"false",18.669,"00:58:57"
"11.ida","1340",67,"false",19.152,"01:00:28"
"11.ida","2424",68,"false",19.594,"01:01:52"
"11.ida","2425",69,"false",20.1,"01:03:28"
"11.ida","2426",70,"false",20.59,"01:05:01"
"11.ida","1024",71,"false",20.798,"01:05:40"
"11.ida","2838",72,"false",21.333,"01:07:22"
"11.ida","2999",73,"false",21.952,"01:09:19"
"11.ida","2841",74,"false",22.349,"01:10:34"
"11.ida","1989",75,"false",22.608,"01:11:23"
"11.ida","1351",76,"false",22.821,"01:12:03"
"11.ida","1352",77,"false",23.025,"01:12:42"
"11.ida","2845",78,"false",23.299,"01:13:34"
"11.ida","1476",79,"false",23.522,"01:14:16"
"11.ida","1994",80,"false",23.724,"01:14:55"
"11.ida","3007",81,"false",24.386,"01:17:00"
"11.ida","2224",82,"false",24.679,"01:17:56"
"11.ida","2225",83,"false",25.015,"01:18:59"
"11.ida","2228",84,"false",25.549,"01:20:40"
"11.ida","2229",85,"false",25.768,"01:21:22"
"11.ida","2230",86,"false",25.925,"01:21:52"
"11.ida","2231",87,"false",26.239,"01:22:51"
"11.ida","2232",88,"false",26.42,"01:23:25"
"11.ida","2233",89,"false",26.686,"01:24:16"
"11.ida","2234",90,"false",26.896,"01:24:56"
"11.ida","2235",91,"false",27.066,"01:25:28"
"11.ida","2236",92,"false",27.34,"01:26:20"
"11.ida","2237",93,"false",27.571,"01:27:03"
"11.reg","2045",1,"false",0.042,"00:00:07"
"11.reg","2262",2,"false",0.267,"00:00:50"
"11.reg","2263",3,"false",0.446,"00:01:24"
"11.reg","2264",4,"false",0.666,"00:02:06"
"11.reg","2265",5,"false",0.843,"00:02:39"
"11.reg","2266",6,"false",1.124,"00:03:32"
"11.reg","2267",7,"false",1.344,"00:04:14"
"11.reg","2268",8,"false",1.63,"00:05:08"
"11.reg","2269",9,"false",1.846,"00:05:49"
"11.reg","2270",10,"false",2.125,"00:06:42"
"11.reg","2271",11,"false",2.291,"00:07:14"
"11.reg","2272",12,"false",2.45,"00:07:44"
"11.reg","2273",13,"false",2.621,"00:08:16"
"11.reg","2274",14,"false",2.78,"00:08:46"
"11.reg","2275",15,"false",3.019,"00:09:32"
"11.reg","2276",16,"false",3.236,"00:10:13"
"11.reg","1223",17,"false",3.511,"00:11:05"
"11.reg","1423",18,"false",3.734,"00:11:47"
"11.reg","1424",19,"false",4.241,"00:13:23"
"11.reg","2280",20,"false",4.441,"00:14:01"
"11.reg","2912",21,"false",4.685,"00:14:47"
"11.reg","2913",22,"false",4.987,"00:15:44"
"11.reg","2059",23,"false",5.234,"00:16:31"
"11.reg","2915",24,"false",5.472,"00:17:16"
"11.reg","2061",25,"false",5.777,"00:18:14"
"11.reg","1232",26,"false",6.034,"00:19:03"
"11.reg","2287",27,"false",6.244,"00:19:43"
"11.reg","2919",28,"false",6.538,"00:20:38"
"11.reg","905",29,"false",6.849,"00:21:37"
"11.reg","906",30,"false",7.108,"00:22:26"
"11.reg","2507",31,"false",7.301,"00:23:03"
"11.reg","908",32,"false",7.881,"00:24:53"
"11.reg","2984",33,"false",9.255,"00:29:13"
"11.reg","2511",34,"false",9.586,"00:30:16"
"11.reg","2512",35,"false",10.144,"00:32:02"
"11.reg","2513",36,"false",10.559,"00:33:20"
"11.reg","2514",37,"false",11.066,"00:34:56"
"11.reg","1533",38,"false",11.379,"00:35:56"
"11.reg","1245",39,"false",11.848,"00:37:24"
"11.reg","1246",40,"false",12.114,"00:38:15"
"11.reg","1858",41,"false",12.451,"00:39:19"
"11.reg","1537",42,"false",12.784,"00:40:22"
"11.reg","1669",43,"false",13.099,"00:41:21"
"11.reg","1250",44,"false",13.297,"00:41:59"
"11.reg","1251",45,"false",13.568,"00:42:50"
"11.reg","1863",46,"false",13.837,"00:43:41"
"11.reg","1253",47,"false",14.218,"00:44:53"
"11.reg","2308",48,"false",14.465,"00:45:40"
"11.reg","1544",49,"false",14.654,"00:46:16"
"11.reg","2527",50,"false",14.969,"00:47:16"
"11.reg","2528",51,"false",15.243,"00:48:08"
"11.reg","1258",52,"false",15.819,"00:49:57"
"11.reg","1548",53,"false",16.131,"00:50:56"
"11.reg","2531",54,"false",16.302,"00:51:28"
"11.reg","1261",55,"false",16.516,"00:52:09"
"11.reg","1873",56,"false",16.717,"00:52:47"
"11.reg","1552",57,"false",16.892,"00:53:20"
"11.reg","1875",58,"false",17.155,"00:54:10"
"11.reg","1554",59,"false",17.32,"00:54:41"
"11.reg","1266",60,"false",17.633,"00:55:40"
"11.reg","1267",61,"false",17.95,"00:56:41"
"11.reg","1879",62,"false",18.289,"00:57:45"
"11.reg","1270",63,"false",19.253,"01:00:47"
"11.reg","2542",64,"false",19.634,"01:02:00"
"11.reg","2543",65,"false",20.032,"01:03:15"
"11.reg","1884",66,"false",20.47,"01:04:38"
"11.reg","1885",67,"false",20.863,"01:05:52"
"11.reg","1719",68,"false",21.331,"01:07:21"
"11.reg","2547",69,"false",21.742,"01:08:39"
"11.reg","2786",70,"false",22.095,"01:09:46"
"11.reg","2549",71,"false",22.33,"01:10:30"
"11.reg","2550",72,"false",22.668,"01:11:34"
"11.reg","2789",73,"false",22.982,"01:12:34"
"11.reg","2552",74,"false",23.283,"01:13:31"
"11.reg","2553",75,"false",23.446,"01:14:02"
"11.reg","2554",76,"false",23.743,"01:14:58"
"11.reg","2555",77,"false",24.031,"01:15:53"
"11.reg","2556",78,"false",24.201,"01:16:25"
"11.reg","2557",79,"false",24.357,"01:16:55"
"11.reg","2558",80,"false",24.622,"01:17:45"
