stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
4098,C4098,,Santa Fé 871,-31.4019085253,-64.1979984724,Santa Fé,871,,
4279,C4279,,27 de Abril,-31.4132609201,-64.1975338741,27 de Abril,,,
4556,C4556,,Zarate 1688,-31.3758702897,-64.1967039163,Zarate,1688,,
5048,C5048,,Colón 1188,-31.4089132348,-64.1990153597,Colón,1188,,
7641,C7641,,Gaiman,-31.4883338262,-64.23444354,Gaiman,,,Esq. Colorado
698,C0698,,Dumas 1901,-31.43419,-64.20857,Dumas,1901,Venus y Preciados,
4128,C4128,,Richieri 3548,-31.4544265038,-64.1729538527,Richieri,3548,,
4,C0004,,Julio de Vedia 3837,-31.36509,-64.13816,Julio de Vedia,3837,Jose Maria La Hora y Macacha Guemes,
5,C0005,,Julio de Vedia 3741,-31.36653,-64.13818,Julio de Vedia,3741,Perez de Denis y Jose Agustin Donado,
6,C0006,,Julio de Vedia 3631,-31.36797,-64.13816,Julio de Vedia,3631,Eustaquio Diaz Velez y Soriano de Areval,
7,C0007,,Arevalo 2552,-31.36847,-64.1359,Arevalo,2552,Heroes de Vilcapugio y Heroinas de Mayou,
8,C0008,,Arevalo 2682,-31.36848,-64.13358,Arevalo,2682,Heroinas de Ayouma y Chachapoyas,
9,C0009,,Chachapoyas 3550,-31.36906,-64.13306,Chachapoyas,3550,Bv Chorroarin doble mano,
10,C0010,,Chachapoyas 3401,-31.37101,-64.13308,Chachapoyas,3401,27 de Febrero y Fernando Abramo,
11,C0011,,Chachapoyas 3067,-31.37247,-64.13308,Chachapoyas,3067,Julian Laguna y 3 de Junio,
12,C0012,,Chachapoyas 3111,-31.37387,-64.1331,Chachapoyas,3111,Jose Mellian y Arredondo,
13,C0013,,Chachapoyas 3000,-31.37532,-64.13313,Chachapoyas,3000,Rauch y Balbastro,
14,C0014,,Rauch 2792,-31.37572,-64.13165,Rauch,2792,Maestro Castro y Pje S/Nombre,
15,C0015,,Rauch 2894,-31.3757,-64.1302,Rauch,2894,Castro y Calle sin Nombre,
16,C0016,,Mesa y Castro 2897,-31.37632,-64.1297,Mesa y Castro,2897,Capdevila y Rauch,
17,C0017,,Montemayor 2767,-31.37783,-64.1318,Montemayor,2767,Capdevila y Rafael de Palencia,
18,C0018,,Montemayor 2611,-31.37925,-64.13178,Montemayor,2611,Rafael de Palencia y Vilchez y Montoya,
19,C0019,,Montemayor 2365,-31.38218,-64.1318,Montemayor,2365,Tadeo Davila y Jose de Medeiros,
20,C0020,,Montemayor 2225,-31.38309,-64.13182,Montemayor,2225,Medeiros y Archondo,
21,C0021,,Montemayor 2015,-31.38508,-64.1318,Montemayor,2015,Oca¤a y Isasmendi,
22,C0022,,Isasmendi 2900,-31.38543,-64.13383,Isasmendi,2900,Alsina y Altolaguirre,
23,C0023,,Altolaguirre 1718,-31.38805,-64.1341,Altolaguirre,1718,Gil de Taboada y Ramon de Carassa,
24,C0024,,Malvinas 2613,-31.38936,-64.13602,Malvinas,2613,Edison y Wilson,
26,C0026,,Malvinas 2155,-31.39104,-64.14334,Malvinas,2155,Jose de Quevedo y Herman Huberman,
29,C0029,,Malvinas 1445,-31.39325,-64.15202,Malvinas,1445,Santiso y Moscoso y Juan Tissera,
33,C0033,,Polonia 1216,-31.39878,-64.15663,Polonia,1216,Cochabamba y Charcas,
34,C0034,,Polonia 1041,-31.40063,-64.15581,Polonia,1041,Urtubey y Garay,
4395,C4395,,Av Pilar 2917,-31.4452807114,-64.1523980298,Av Pilar,2917,,
36,C0036,,Armenia 2169,-31.40337,-64.15718,Armenia,2169,Garibaldi y Eufrasio Loza,
37,C0037,,Libertad 2069,-31.40555,-64.15754,Libertad,2069,Eufrasio Loza y Manuel Vergara,
40,C0040,,Viamonte 630,-31.4089,-64.16646,Viamonte,630,Libertad y Oncativo,
44,C0044,,Sarmiento 331,-31.41146,-64.17708,Sarmiento,331,Pje Scabuzzo y Maipu,
47,C0047,,Gral. Paz 331,-31.41145,-64.18515,Gral. Paz,331,La Rioja y Santa Rosa,
49,C0049,,Velez Sarsfield 360,-31.41732,-64.18757,Velez Sarsfield,360,Caseros y Duarte Quiros,
50,C0050,,Velez Sarsfield 660,-31.42289,-64.18997,Velez Sarsfield,660,San Luis y Laprida,
51,C0051,,Achaval Rodriguez 333,-31.4241,-64.1924,Achaval Rodriguez,333,Belgrano y M.T. de Alvear,
53,C0053,,M.T. de Alvear 1070,-31.4265,-64.19467,M.T. de Alvear,1070,Angelo de Peredo y Domingo Funes,
54,C0054,,Julio Roca 418,-31.42723,-64.19542,Julio Roca,418,Brasil y Simon Bolivar,
56,C0056,,Julio Roca 672,-31.42878,-64.20066,Julio Roca,672,Corro y Artigas,
57,C0057,,Julio Roca 886,-31.4286,-64.20286,Julio Roca,886,Clemente Sarraga y Paso de los Andes,
58,C0058,,Julio Roca 1091,-31.42779,-64.207,Julio Roca,1091,Achaval y Misiones,
59,C0059,,Fuerza Aerea 1300,-31.429,-64.21121,Fuerza Aerea,1300,Rio Negro y Rotonda del Ala,
60,C0060,,Fuerza Aerea 1871,-31.43038,-64.21456,Fuerza Aerea,1871,Sol de Mayo y Sgto. Romero,
63,C0063,,Fuerza Aerea 2544,-31.43083,-64.22171,Fuerza Aerea,2544,Olegario Correa y Jose de Echeverria,
64,C0064,,Fuerza Aerea 2884,-31.43125,-64.22698,Fuerza Aerea,2884,Espora y Leon Pinelo,
70,C0070,,Aviador Abel 1887,-31.43226,-64.24571,Aviador Abel,1887,Fuerza Aerea y Aviador Zanni,
71,C0071,,Aviador Abel 1758,-31.42981,-64.24571,Aviador Abel,1758,Albarracin y Zuñiga,
74,C0074,,Aviador Kingsley 1745,-31.42935,-64.24691,Aviador Kingsley,1745,Zuñiga y Albarracin,
75,C0075,,Aviador Kingsley 1798,-31.43033,-64.24691,Aviador Kingsley,1798,Albarracin y Camilo Isleño,
77,C0077,,Fuerza Aerea 4300,-31.43257,-64.2443,Fuerza Aerea,4300,Aviador Richardson y Aviador Camilotti,
79,C0079,,Fuerza Aerea 3755,-31.43216,-64.23805,Fuerza Aerea,3755,Graham Bell y Varela Ortiz,
81,C0081,,Fuerza Aerea 3100,-31.43166,-64.23062,Fuerza Aerea,3100,Peteroa y Fuerza Aerea,
82,C0082,,Fuerza Aerea 2859,-31.43143,-64.22722,Fuerza Aerea,2859,Leon Pinelo y Espora,
83,C0083,,Fuerza Aerea 2683,-31.43122,-64.22428,Fuerza Aerea,2683,Lafore y Padre Lozano,
84,C0084,,Fuerza Aerea 2433,-31.43093,-64.22036,Fuerza Aerea,2433,Olegario Correa y Vieytes,
85,C0085,,Fuerza Aerea 2045,-31.43075,-64.21739,Fuerza Aerea,2045,Sosneado y Tronador,
88,C0088,,Julio Roca 1260,-31.42842,-64.20924,Julio Roca,1260,La Pampa y Luis Agote,
89,C0089,,Julio Roca 961,-31.42813,-64.20598,Julio Roca,961,Achaval y Paso de los Andes,
90,C0090,,Julio Roca 745,-31.42871,-64.20221,Julio Roca,745,Canalejas y Elpidio Gonzalez,
92,C0092,,Julio Roca 445,-31.42797,-64.1966,Julio Roca,445,Rodolfo Reyna y Simon Bolivar,
93,C0093,,Pueyrredon 395,-31.42587,-64.19375,Pueyrredon,395,M.T de Alvear y Belgrano,
94,C0094,,Pueyrredon 73,-31.42709,-64.18975,Pueyrredon,73,Obispo Trejo y Independencia,
95,C0095,,Estrada 160,-31.42796,-64.18663,Estrada,160,Buenos Aires y Ituzaingo,
100,C0100,,Maipu 164,-31.41558,-64.17945,Maipu,164,25 de Mayo y Olmos,
103,C0103,,Esquiu 247,-31.41465,-64.17091,Esquiu,247,24 de Setiembre y Lima,
104,C0104,,Catamarca 985,-31.41274,-64.17063,Catamarca,985,Esquiu y Felix Frias,
106,C0106,,Jacinto Rios 554,-31.41028,-64.16721,Jacinto Rios,554,Sarmiento y Oncativo,
107,C0107,,Oncativo 1551,-31.40884,-64.16484,Oncativo,1551,Roma y Gral. Deheza,
110,C0110,,Rincon 2084,-31.40484,-64.1583,Rincon,2084,Pje Manuel Vergara y Eufrasio Loza,
111,C0111,,Gavilan 827,-31.40396,-64.15505,Gavilan,827,Frente al CPC,
112,C0112,,Garibaldi 962,-31.40283,-64.15741,Garibaldi,962,Armenia y Garay,
113,C0113,,Garibaldi 1336,-31.39872,-64.15893,Garibaldi,1336,Cochabamba y Padre Luis Monti,
116,C0116,,Malvinas 1253,-31.39442,-64.15544,Malvinas,1253,Juan XXIII y Carlos III,
120,C0120,,Malvinas 2189,-31.39103,-64.14296,Malvinas,2189,Huberman y Jose de Quevedio,
123,C0123,,Malvinas 2765,-31.38932,-64.1357,Malvinas,2765,Wilson y Edison,
125,C0125,,Alsina 2032,-31.38546,-64.13336,Alsina,2032,Isasmendi y Villacorta y Oca¤a,
126,C0126,,Chachapoyas 2199,-31.38387,-64.13258,Chachapoyas,2199,Villacorta y Oca¤a y Tomas de Archondo,
127,C0127,,Chachapoyas 2394,-31.38193,-64.13256,Chachapoyas,2394,Medeiros y Tadeo Davila,
