trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,card_code,active
33,50,,Ciudad Universitaria,,1,33,,False
34,57,,Ciudad Universitaria,,1,34,,False
36,53,,Playa E. de Feriar,,1,36,,False
38,71,,Villa Angelelli,,0,38,,False
39,60,,Lasalle,,0,39,,False
43,51,,La Floresta,,1,43,,False
45,33,,Villa Libertador,,0,45,,False
46,60,,Amp. Ferreyra,,1,46,,False
47,56,,Villa Urquiza,,0,47,,False
48,35,,Sentido Antihorario,,0,48,,False
50,65,,Villa Esquiú,,1,50,,False
51,58,,Coronel Olmedo,,1,51,,False
53,41,,Patricios,,1,53,,False
54,52,,Don Bosco,,0,54,,False
60,69,,Rincón Bonito,,1,60,,False
62,71,,Colonia Los Pinos,,1,62,,False
63,46,,René Favaloro,,0,63,,False
65,61,,CPC Argüello,,0,65,,False
66,64,,Liceo 3 Secc.,,0,66,,False
67,40,,Ciudad Universitaria,,0,67,,False
68,55,,Valle Escondido,,1,68,,False
69,69,,Ciudad Universitaria,,0,69,,False
71,33,,Gral. Mosconi,,1,71,,False
73,43,,Sentido Antihorario,,0,73,,False
75,34,,Sentido Horario,,0,75,,False
76,47,,Yapeyú,,1,76,,False
80,51,,Área Central,,0,80,,False
81,50,,Escuela de Aviación,,0,81,,False
82,59,,Coronel Olmedo,,1,82,,False
83,55,,Villa Boedo,,0,83,,False
86,76,,San Vicente,,0,86,,False
87,54,,Colonia Lola,,0,87,,False
88,40,,Villa Retiro,,1,88,,False
89,37,,Cabildo,,0,89,,False
91,66,,Sacchi,,1,91,,False
92,41,,Estación Flores,,0,92,,False
93,70,,Cerveceros,,1,93,,False
96,72,,Parque Horizonte,,0,96,,False
103,37,,Gral. Mosconi,,1,103,,False
104,48,,Residencial San Roque,,0,104,,False
106,39,,Villa Retiro,,1,106,,False
107,72,,CPC Rancagua,,1,107,,False
108,53,,Maldonado,,0,108,,False
110,30,,Gral. Mosconi,,1,110,,False
111,10,,Alto Hermoso,,0,111,,False
112,73,,Ciudad de las Artes,,0,112,,False
113,21,,Parque Futura,,1,113,,False
114,74,,Mariano Fragueiro,,1,114,,False
115,56,,Colonia Lola,,1,115,,False
116,28,,20 de Junio,,1,116,,False
117,38,,Área Central,,0,117,,False
118,57,,Villa Belgrano,,0,118,,False
119,14,,Ampliación San Pablo,,0,119,,False
120,64,,Retiro,,1,120,,False
121,6,,Villa Allende Parque,,1,121,,False
122,12,,Cno. San Carlos Km 4.5,,1,122,,False
123,3,,Ituzaingó,,1,123,,False
124,29,,Ciudad Universitaria,,0,124,,False
125,66,,Pque. República,,0,125,,False
126,9,,Ciudad Universitaria,,0,126,,False
127,32,,Villa Unión,,0,127,,False
128,65,,Yofre Norte,,0,128,,False
129,1,,Ituzaingó,,1,129,,False
130,38,,Cabildo,,1,130,,False
131,59,,Área Central (por el Quebracho),,0,131,,False
132,67,,CPC Empalme,,1,132,,False
133,2,,Villa Allende Parque,,1,133,,False
134,44,,Yapeyú,,1,134,,False
135,74,,Plaza de las Américas,,0,135,,False
136,7,,25 de Mayo,,0,136,,False
137,39,,Polo Sanitario,,0,137,,False
138,52,,Miralta,,1,138,,False
139,76,,Ameghino,,1,139,,False
140,23,,Villa Ballester,,0,140,,False
141,24,,Santa Isabel 1 Secc.,,1,141,,False
142,68,,Ituzaingó,,1,142,,False
143,19,,Libertad III,,0,143,,False
144,63,,Alta Córdoba,,0,144,,False
145,44,,SMATA,,0,145,,False
146,49,,Ciudad Universitaria,,1,146,,False
147,61,,J.I.Díaz 5 Secc.,,1,147,,False
148,4,,Ciudad Universitaria,,1,148,,False
2,26,,Los Paraísos,,0,2,,False
4,13,,Marqués de Sobremonte,,0,4,,False
9,13,,Artigas,,1,9,,False
11,23,,Santa Isabel 2 Secc.,,1,11,,False
12,31,,20 de Junio,,1,12,,False
15,31,,Polo Sanitario,,0,15,,False
17,9,,Saldán,,1,17,,False
19,15,,Inaudi,,0,19,,False
21,30,,Parque República,,0,21,,False
22,24,,Área Central,,0,22,,False
26,8,,Ituzaingó,,0,26,,False
35,14,,Ampliación Poeta Lugones,,1,35,,False
37,17,,Los Boulevares,,0,37,,False
40,20,,Bower,,1,40,,False
41,5,,Ampliación 1 de Mayo,,0,41,,False
42,15,,Marqués de Sobremonte,,1,42,,False
44,29,,Guiñazú,,1,44,,False
49,28,,Pque. Liceo,,0,49,,False
52,21,,J.Luis Cabrera,,0,52,,False
55,10,,Ciudad Universitaria,,1,55,,False
56,2,,Empalme,,0,56,,False
57,7,,Ciudad Universitaria,,1,57,,False
58,16,,Cno. San Carlos Km 4.5,,1,58,,False
59,5,,Policial,,1,59,,False
61,17,,Artigas,,1,61,,False
64,18,,Ampliación Cerveceros,,1,64,,False
70,8,,16 de Noviembre,,1,70,,False
72,11,,Santa Cecilia,,0,72,,False
74,12,,Los Boulevares,,0,74,,False
77,1,,Lasalle,,0,77,,False
78,18,,Sol Naciente,,0,78,,False
79,25,,Universidad Cátolica,,1,79,,False
84,4,,Centro de Almaceneros,,0,84,,False
85,6,,Polo Sanitario,,0,85,,False
90,22,,Santa Isabel 1 Secc.,,1,90,,False
94,16,,Aeropuerto,,0,94,,False
95,22,,Polo Sanitario,,0,95,,False
97,19,,Marqués de Sobremonte,,1,97,,False
98,26,,Cabildo,,1,98,,False
99,27,,J.Newbery,,0,99,,False
100,27,,Villa Libertador,,1,100,,False
101,3,,16 de Noviembre,,0,101,,False
102,11,,Cerveceros,,1,102,,False
105,25,,Área Central,,0,105,,False
109,20,,Rivadavia,,0,109,,False
1,48,,Patricios Oeste,,1,1,,False
3,46,,Patricios Norte,,1,3,,False
5,45,,Residencial San Roque,,0,5,,False
6,70,,Aeropuerto-Univ. Siglo21,,0,6,,False
7,36,,Villa Angelelli,,1,7,,False
8,62,,Las Lilas,,1,8,,False
10,73,,Cerro de las Rosas,,1,10,,False
13,36,,Área Central,,0,13,,False
14,58,,Cerro de las Rosas,,0,14,,False
16,68,,Arco de Córdoba,,0,16,,False
18,62,,Cerro de las Rosas,,0,18,,False
20,45,,Mercado Frutihortícola,,1,20,,False
23,54,,Playa E. de Feriar,,1,23,,False
24,75,,Alto Alberdi,,1,24,,False
25,63,,Marqués de Sobremonte,,1,25,,False
27,32,,M.T. de Alvear,,1,27,,False
28,49,,Arenales,,0,28,,False
29,75,,Pueyrredón,,0,29,,False
30,67,,CPC Centro América-Hospital Infantil,,0,30,,False
31,42,,Sentido Horario,,0,31,,False
32,47,,Matienzo,,0,32,,False
